,Clean_Text,label
35124,hha yeah like heart weve met shaun bradie real ,1
36841,hahaha guess reinforce skates haha remember u r friend semigod gluten intolence,1
39539,getting quotrealquot kiokudb catalyst app yay,1
13904,awww heard sweetest guy fans,1
39595,un mesaj de eroare forbiddenyou dont permission access photojpg server ghicit,2
38410,excited rove tonight jennifer garner gina riley,1
61,absolutely shit day sick life taking shots fucking day point trying supposed effort dig deeper depression anger stresssorry shortcrappy stream honestly dont know ill pictwittercomplbpbaowt,0
31549,excited r r mothers day,1
23975,iye nehkurang tidur kayaknya pulang pagian deh hari ini tidur langsunghaha thanks,1
1021,like im fun talking ships opening depression generally im silly joke talking maybe childish matters thats way relieving stress real complicated,0
39952,come online  hope youve amazing weekend,1
20716,work surprisingly happy things considered ahhhh loveliness,2
37204,woot favourtie second favourite episode came tow ross rachel know,2
27774,heart heart boy all good stuff promise bit smitten fucking loves avihawt,2
1107,me depression panic attackpeople itme suicidepeople omg poor little girl happened end life like thispeople dont care bout u u r alive care bout u news bout uits true said pictwittercombvrxuhwkp,0
20884,isnt bit little britain,1
31827,youre popular,1
20624,thanks great day,2
15426,workweeks time play new phone sim card didnt transfer contacts list,1
30839,mrskutcher amp aplusk funny,1
13260,dlukasrossi lukas amazing wife updates locked hard convince people follow protected profiles,2
37071,pictures tells u surrounded adorable children hehe,1
28846,gasp  followers feel famous think famous grew day lol oh cheers norm peeps,2
32740,httptwitpiccomwho mommys gummy mothers day posterrr,1
4002,tvs busted screen turned white nanosecond quick quotpoppingquot sound,2
36731,think late night friday hit town meet friend soon ice cream coffee,1
39335,come gig dublin dancing partner whatcha think hehe xxx,2
18734,writersquotthey wonderwhy foisting little pipe dreams stories head peoplequot like writing,1
22744,elephant lol try painting,1
32002,u profile ill help u cause ur right,1
16751,victory need reinstall damn apps,1
4887,time tacos like,1
24116,school im arrange design blog friend think looks good httpxoxoeternitybloggno,1
17921,playing,2
1846,problems depression anxiety things shes gone losing temper shes long time training know loves training taekwondo mental health,0
20029,getting additional free day,2
1756,im genius rug washing machine left folding door half open machine moved door wont close open shaking head,2
5141,im afraid realized true difficulty design cry soon idmfinal,2
36536,aww bradie loves perth love ad page lol xx,2
25940,cheeeessseee ireland latest wampg aired inlaws blocking telly christmas day,2
34045,love lamp sydney australia,1
18784,roseburgand apartment,2
29525,wow havent watched movie ages fantastic,1
14992,drove past hotel wish u ere im thinking december trip real white xmas,1
30392,thanks great time,1
31151,new favorite prayers quothelp help help mequot quotthank thank thank youquot,1
31677,pictures pretty day httptrimkwod fb,1
21711,humm adore mark hoppusday im going throw hoppusday nice hoppusday people,1
30282,surprised,2
30770,thats said,2
9481,omg seated seth lakeman way far liking x,2
4477,woke sound neighbor getting new roof,2
28290,testing hey gotta add follow,1
27021,went outside picked flowers marina love picking flowers haha,1
33819,wk c drs maybe love mac grill john thought u,1
26563,getting ready summy yummy cocoa crispies,1
38140,enjoyed quotwhats namequot article,1
29506, nice able following twitter,1
34197,excited enfest yaaaay,1
26595,blog httpblogspiritualsmartscom published web digest weekly issue,2
30306,saw zack miri porno sooo good,2
12430,thanks support kept updating helps,1
36008,quotif theres camel hillquot quotill planktonquot hilarious,1
29569,hahahahahahahahahahahahaha interesting,1
10305,omgzzz realised homer simspon aint real o haha,2
35548,thinking song use chilled edition video,1
27089,star trek hd im impressed beam spotty,1
25423,bank holiday london woohoo,1
2005,yay friday hold work tomorrow,2
7067,mtn dew minifridge,2
38222,love everrything breadtalk eat place,1
20914,journey wow u cooler hehe is possible,2
12576,dont know mom gave clean macbook white tinted grayish blue black desk,1
32755,enjoying drown tears,1
20422,amp matey,1
25696,school rusty oh love ipod awh,1
10318,best evar amp didnt awnser questions xoxo,2
8308,mailed help got reply right didnt probly mean wont,2
24603,awarded credit card,1
36361,actually wanting buy bus day amp turn motor home imagine whopping big blokeslib logo,1
38299,forward starting teaching new students hypnosis plenty laughs im sure,1
34382,thats bad movies pretty good werent scared away people costume,1
33667,like,2
28538,watched didnt want win good fightlol,2
22385,aaa new follower hiii,1
28532,mum jewellery shopping coffee mothers day,1
26356,looks like sun making comeback midwest happy monday,1
34539,calling mothers calling mothersget butts bed kidsll tomorrow,2
38780,listening prima j rockstar dang catchyy,1
39073,haha im turned coontailsso kinda kills xd like spikes,2
35480,brats bed im chillin noodle,1
34123, ha lead singer gave high got guitar pics,1
27997,wish come swindon hours awayits dream meet xoxo,1
26162,thanks awesome,2
26313,mashup monday honour swine flu hysteria httpblipfmjnv,2
32292,hey guys leann dont know remember wanted im excited guys far,1
27572,skipping school like cool kids,1
286,miss post running mental health use running counter anxiety depression running httpbitlyfwjm mentalillness,0
24971,sikkkeee getting bose headphones  today,2
4025,bahah butnick,2
29591,thank ye vaneta appreciated,1
28454,ta happy bday gson,1
170,day terrible napped showered im drinking coffee car listening bright eyes checkmate depression aha,0
334,idk paid  bowl beans tempeh pickled onions depression makes shit,0
107,im tired feeling like burden depression convinces im better,0
28060,,1
5202,whaaat week,2
31577,moshing fall boy confetti bears falling sky,2
38698,sleep spending day mom mothers day chinese,1
24451,agree g b reef got vote queensland,1
32284,went friends house watch good old season  episodes supernatural lt damn love soo fucking,1
7755,blood workits hot,2
34854,restoring new itouch  excited use yeeeeeeeee goodbye itouch ,1
34040,hed probably spontaneously combust,2
484,ive depressionanxiety entire life found seven years ago destroyed little left life came identical trying deal find truly thread hits home lot httpstwittercommynameisgaronstatus ,0
16842,defiantly watching work streaming leave,1
32210,thank blast,1
14863,know mean,2
22779,positive affirmation japanese yay bank holiday monday,1
32809,happy mothers day mommiies owt theaa amp ii think ii got thaa hang thiis thiing yay,1
5020,sooo cloooseee,2
10328,peep got game site,2
26361,nice submit failblogorg,1
36591,whos hearts break little time year know loved week new week,1
1531,people wont buy knives vacuums door door mean thing recession depression,0
7010,wow r watching outsiders smelly english,2
28525,thinks sg wonderful,1
30025,song american rejects amazing song,1
30869,httpyfrogcomguyoj bonfires fave,1
846,crazy ive able accomplish got rid depression,0
11385,hot weather lose clean cleaning heat sucks balls,2
25013,thankyou ur night,1
28882,ok found way think tonight lets let dance time,1
34970,awesome lunch family amp dinner inlaws,1
24276,dont come love week need youre hot,1
430,nope sleeping cuz live east coast,2
437,slipping depression httpstwittercomjamescharlesstatus ,0
32141,spot oni wouldnt tweet thanks share tonight,1
18691,weekends greatif dont work,1
8123,anywayss point dying spend summer hot guys,1
431,saw somebody comment post legalizing marijuana said hopefully switch antidepressants thisthats worksweed can help depression dont switch bad stop,0
38,shane responded lame mothman pun depression cured,0
16643,upcoming tripitaly france belgiumyeah sadly germany surprisingly bummed tradition,2
4935,damn mass unfollowing didnt invite im bummed,2
35103,new day new home happy mom day ,1
36915,catching reading twitter n bf break,1
8053,awww poor know youre bless ,1
37738,im exploring home xd back vacation nice  home,1
27484,happy star wars day unbelievable,1
1421,despite success adulationthe demons far marvins door drug addiction depression failed marriages financial ruin fateful tempestuous relationship alcoholic cross dressing preacher father pushed marvin closer edge,0
22877,got home bought twiggies toothbrush promises teeth  cleaner httptweetsg,1
38437,happy makes laundry wonderful,1
30069,model pink motorcycle,2
8067,everyones going think im gold digger hahahaha,1
25284,morning sunshiines,1
22884,summer cricket season starts actually yeah sparkly wings,2
27992,hahaha yes,1
33422,im good,2
37889,home work hours sleep putting miles new bike,1
2134,gotta touch bc huge difference sad depression,0
29976,yaay congrats shmolan graduating im proud fun lt,1
21703,cinema tonight half price monday ,2
36380,congratss,1
36557,cousins confirmation  confirmation party,2
28521,currently munching baby carrots nom nom nom nom,1
33671,got guy chat lol,1
7246,long,2
38569,liein months great mooching house,1
33781,greatest days spent day besties amp celebrated installs friends love oh lt,1
4861,twitter seriously seriously dropped ball roxieravenclaw account im mad sad,2
18442, hs im officereally tiredwanna home,2
27835,hannah klein lookin good today,1
35755,dragbut come handy hee hee,1
27949,peekaboo,1
37190,great book looks fantastic want,1
7757,day going far meeting ,1
154,dont know twitter enhances depression cause dont im gonna annoying mutuals dont muted,0
33138,woke coffee listening music reading rsssunday feels great,1
30624,dw funny,1
1041,depression slowly crippling days leave house work im bed,0
1437,gonna stay bed till class depression fucking sucks,0
30280,listening nights underground screening awesome job,1
38061,httptwitpiccomwsm love family guy  hours work,1
26885,pleasure playing guitar fun,1
14688,burnt,2
8434,know join freekin club,1
1443,vintage pink depression glass cherry blossom jeannette platter fabulousfinds httpsetsymeqxaiju,0
20406,hi uploaded  completely new chinese lessons wwwyoutubecomchineselearn feel free watch enjoy,1
26233,ha apparently talk posh accent according ppl saw shire lastdressed feminely makes chuckle,1
24852,im eating flake storm hungry jacks americans burger king,1
29145,prom hi,2
35322,word ima summerjust lol,1
29710,noow calmmm eating polvoron yuumm,2
34558,god bless ohsosexy rahul picture,1
38076,cool im glad good time x,2
23820,flickr pics chester zoo danwtmoon posted photo quotwelcomequot chester zoo jockey httptinyurlcomcqqw,1
23502,happy star wars day lol force strong,1
19405, vancity holy shizz home soon kids,1
18162,lucky weve rain city today enjoy ,1
32152,took amazing power nap starbucks time,2
19629,infamous ps  awesome eyes sore,1
687,ahhhh depression bad silent killer,0
36691,gorgeous day hash waterley wonderful village quiz mistressing porto evening,1
35331,best ecommerce site hope youve watched big bang theory httpwwwpennyblossomscom hit quotbuy nowquot,1
660,feel need share depression secret httpsiftttjzsdau,0
28411,shout sanjeev thank follower twitter,1
15431,strange  char limit tweets ustream geogeektv live gt httpustreamtoa,2
26983,mega sunshine morning,1
35700,cynthia jenny spamming twitter haha,1
21285, bloody quick gran drift httptwitpiccomja,2
36452,good morning sunny londonsounds like oxymoron happens true today hurrah,1
33402,home bed im super duper excited tomorrow,1
38195,reading book sunshine goona good day,1
23863,saaaaafe mee fucking epic times night old friends new friendships good way kick month,1
29112,great time kc httptwitpiccomwfi,1
289,oh hugs,2
8300,dream hanging friends good woke werent,1
33653,thanks sweet dreams,1
27068,good luck finals,1
32553,today lost,1
26201,th starwarsday,1
18196,want die want life forever shes trying duet,1
20952,sucker sound acoustic guitar,1
38855,haha night man im sure ill meet lifetime fact willno doubt,1
30945,bookmark keychain surprise,2
29197,lol mum likes bit ol clergy ordained ultra violence,2
28390,kwl nm msn nd homework went  c hanna montana hte movie yesterday xx happy mayday btw xx,2
34720,crazy busy grins mothers day weekend lots abies sending wishes,1
26301,ill buy,1
21147,thanks im way,1
320,depression realcant begin describe ive feeling past httpweekit comes wants stay,0
29261,dun choreographing dance,1
25143,ha ha surprisingly considering good time sun mountains,1
35969,watchin favie said sothen catching needed sleep goodnight,1
26126,yay bought american dad volume  seen australia dvd lot cheaper going,1
35578,omg hahaha thought joking twittering hahaha awesome good times,1
879,theres  mile depression run cant fixi mean depression,0
38714,good morning fabulous morning,1
39355,walking dog horseforth park hangover sunday morning yay,2
11651,weekend,1
36004,haha whats matt,1
1813,wrote expat depression blog started post got hits written wrote series ended getting commission wsj article subject,0
11081,omg mampms pantry calling ive ignoring day driving completely insane calories,2
45,world feels like moving slow motion im trapped state perpetual numbness,0
7058,im pub garden boiling hannah likey,1
9058,hey guys invite outmoody friend days,2
8459,ordered cuuutest invitations new nieces christening arrived sa sorry wont,1
26579,meetings overrated,2
29510,guess late sigjeans,1
34501,moredaysmoredays yayyay taken nearly finished better good,1
11551,polaroid film today hope green tea  yum got  appearance quotjobquot interview cleavage,1
30304,reading cryin reading laughin enjoying ride enlightened inspired letters young sister thx hill,1
37297,haha  bet settled  bad,1
39822,happy birthday,1
31127,im seeing lots sold signs,2
29854,miss icarly son huge crush miranda,1
39483,omg thats right hahaha im stupid,2
26589,im going estonia woohoo,1
38743,httptwitpiccomqfl haha love,1
15696,aww today good like ,1
12336,yesall oh gone bed minor soap marathon photo editing night  ohhh inn lake nice food,1
32345,sounds interesting,1
51,world feels like cold desolate place sunshine fails penetrate darkness,0
23434,spending quality time fender tele deluxetrue love,1
31482,noticed wellwood teeth tonight thats nice,1
22098,lol im glad im,1
26440,going work amazing charity event big brothers big sisters dont mind working good cause,1
8644,goodbye sex city let hurry mi cuz paper work  summer bk,1
30969,congrats graduating college,2
26062,says numbers good thats left white blood cell count httpplurkcomprqoq,2
21700,guns roses baby yay hopin blipfm,1
22883,love song liked movie,1
38859,like old days drinkin old spot,1
34329,thats great babe congrats,2
26880,oh lots desk years guess theyve ok lol,1
37050,gear baby,1
5827,wicked dvbs tuner card arrived sure ill able set ready fa cup final tomorrow,1
1079,oh wow owe and colleagues lot theres weeks depression andor anxiety impossible actual interaction world person internet which makes twitter email possible way let people,0
13691,tomorrow warm day reason dont like sun xd ill swim thats better xd,1
1018,lol ik figure ive kept year needing virus software fixed sigh,2
20241,cant huh itll raping twitter,2
987,consider strong minded individual ive gone lowest point idk handle hate ppl depression anxiety mental issue,0
35257,random night fun im chillin home happy mothers day,1
2112,depression hit im traveling like  times anxiety plus depression hate,0
18268,ecaytrade people said youd come stuff where bugs people noshow,2
34050,chocolate peanut butter favorite combonations,1
21065,good morning haha read swine flu probably comes pigs people poor pigs got blame,2
25954,reminder thepetnet awards pet friendly businesses uk awarded pm,1
140,need good web series check giants youtube channel issa rae presentsit hits topics anxiety sexuality depression postgrad life spirituality friendships intimate relationship black perspective disappointed giants,0
29101,maybe start like team living  years city  cups awesome,1
26093,watching supernatural exciting,1
28235,happy nurses week rns,1
28790,becuz honest lets look big picturemy happy ending smile face,1
3431,addiction talk brother ladyi broke couldnt help cry,2
30998,ending te funniest youll  know paranoif stuck head love,1
35120,gps post prom,1
23189,capones island  days summer starting,1
12395,haaa awesome remember brother got given woody got upset cause got buzz got lmfao,1
7616, days freedom damn xams,1
4006,lonely gosforth gallery excited meal followed antony johnsons tonight woohoo,1
20455,got helping sis stuff nieces st birthday saw pspds lite car charger toy kingdom sm p,2
2066,artist doesnt support fans people ungrateful artist shows cares fans going try raise awareness stuff like anxiety depression considered fake stop like,0
34302,es imposible amar starbucks,2
38458,im feeling higher mt everest,1
10389,jus found id finally lint thingy dryer lol bent outta shape im mad,2
9424,httptwitpiccoms woke morningi didnt want leave bed,2
25729,pic blue,2
34775,seen star trek guys cant spoil havent seen,1
7615,wish paramore come ireland,1
21835,dump worries stress fire fun profoundly freeing httpbudurlcomc,1
21403,new supernatural tonight,1
27291,miss fizzy duck loves hive mind,1
18822,ew quotsuicidesquot high school mix like  sodas drink think remember enjoying,1
2247,rn  depression counts dark secret hopefully wont grave httpstwittercomcindtrillellastatus ,0
11398,hanging house thank god friday nina amp later working global project,1
18903,like  confess dark stubborn  im little morning grouch,2
21688,youuuure aaass aaass loooool,1
24698,good evening terri missed lately hope life good wonderful evening,1
28584,went resteraunt nyc aaaaaaaaaamazing,1
31089,follows back,2
1676,depression anxiety isolatingpeersupport help tough timestwo support groups meetevery thursday prestonwhen wheretake look no need book come theyre friendly bunch  httpstwittercompeertalkstatus ,0
28042,want survivor,1
16653, baby god sad oh lifes partaaay xxxxxxxxxx,1
26304,day college today,1
2017,started sharing journey depression blog website check need mental health awareness nz httpigotyouwordpresscom igotyou nzmentalhealth mentalhealthawareness,0
18154,new favorite group jdavey hiamplow shit dont flygroups come miami hell florida rock bells,1
21374,,1
28860,httptwitpiccomwf ooh nice score jojo,1
12290,nice night golfing,1
30216,ecstatic client deed lieu monday sign amp lockbox happy satisfied client,1
20945,yaayy wait today girls gotta dressed early going early,1
606,depression slapping month im realizing im mad,0
36980,yaaaaaaay bday,1
20572,fourth happy star wars day,1
20213,got braces tightened today got mcdonalds haha sport tomorrow yay yay yay netball tryouts wish luck team l,1
32441,concert explain im intrigued,2
24694,today going good day way work spending time jesus,1
31219,nice dinner mom ive started chicken rolls going cook overnight rest ill tomorrow,1
38215,friend calls quotmother earthquot nurturing second nature me god babies,1
29064,congrats dave amp anna surprise proposal enzian theater orlando httpqikcomvideo,1
23895,watir httpruwikipediaorgwikiwatir,2
1629,u fighting,2
23171,finally project  haha goodnights lt,1
35538,web prologue modern liberalism misconstrued nd  bible quotchrist crucifictionquot abstraction wo skin,2
24223,haha youre great teacher learned best hannah montana,2
31538,ouutside city talkin trey trey misssed,1
818,depression eating rn wanna sleep gotta meeting tomorrow im getting told im bad job hunting terrible rn,0
23357,thanks twittering newbie friends like invite help girl,1
39994,succesfully following tayla,1
33954,rap battling second sat moviesss haha quoti swim lake sexquot matthew  ghosts girlfriends past,1
38764,read lactose stuff eat hard cheese lactose jumps joy rainy day yay,2
31469,awesome day,1
27002,th street amazing weekend wedding fantastic im tired work long eventful weekend,1
38807,hmm ok time il explain process haha,2
6412,miss chatting,1
2067,tallented man fitting wish closer,2
17591,thats mean,2
32622,tooth fairy coming ur house tonight,2
17499,awesomeim mad cuz followers r goin take breath,2
16080,going watch tv crazy night am work tomorrow ill live means finish early,1
2621,,2
6947,recollecting jog perfect unkown type hanging vehicle mental noise  mile jog,1
122,weight depression feels like anchor holding living fulfilling vibrant life,0
1320,god reverse seasonal depression worse starts getting warmer httpstwittercomjconlstatus ,0
2093,bandwagonning hate literally why pls read park bom wrong career ruined trying deal depression mental health  httpstwittercomblckjckxxistatus ,0
35203,little bit pane,2
29716,love song starting think knew sameperson,2
30492,eh alright near quality standard keyboard useful,1
20020,lol gotta share,1
1126,obama got severe recessiondepression bush got thats fact cant change typical magat cheeky remark,0
6556,got film developed asda half gray black box half,2
7057,thinks revising garden  morning sunscreen isnt best idea ive oucccccccch,2
26581,lol buy u big star wars pants  xmas,1
20731,lol love macbook oh imac cant decide love ok quot imac trumps quot macbook,1
7372,agree everybody wouldve excited goes ohhhh nooooo ms screws,2
35457,wooow havent charged ipod touch day today alive thats coolio,1
4654,glad hear weathers nice rained day days fun exploring,1
27195,happy monday hope great week,1
25020,understood precoffee tweet im good,1
32682,officially birthday guess  novelty birthday wears,2
29391,home fam como tomorrow,1
37211,bbq andrew sisters jeff fun,1
384,wonder people anxiety depression disability insurance companies fmla companies doctors anxious form form httpswwwfacebookcomcreativedgephotoanddesignposts ,0
19658,hey fun friends cleaning,1
27618,thank respects designer,1
3930,cant buy nokia n amazon says quotcannot ship addressquot,2
31845,super excited,1
9391,come dont think good,1
34343,pulled breakfast sausage mothers day hopefully baby sleeps,1
33544,watched star trek liked im making mother card listening tunage copeland exact ,1
29035,haha true thankfully regular keyboard job time,1
39254,wish wife evelyn happy mothers day tell hope wonderful day spoil today,1
37580,homehad great day httpplurkcompsvkc,1
1737,obese children prone depression low selfesteem negative body image health nutrition programs   help lasbestgames donate team httpswwwcrowdrisecomoencampaignteammonasobhani ,0
59,im filled deep sense emptiness missing found,0
803,hahaha oh man come pomona love everyday instead like year,1
24222,photo session  motherdaughters bonding session  happy,1
14894,good day sun little bit burnt tho actualy alot sore heh,2
29472,morning sunshine,1
26318,lol congrats,1
16019,think ill wanna loveyou xx,1
28143,mountains,1
39947,oh ayehe rocks shes horny,2
25210, evening sunset time,1
24126,waitin dr dee lunch beautiful lady gym  yeah need loose  ,1
37675,wishing happy mothers day,1
32145,okay im happy watched second episode jonas youtube think tomorrow family going olive garden mothers day,2
23467, oh snap kinda nuts right ive told  thanks babes,1
35597,dull life soundtrack favourite showss,1
30,feel worthless failure hopeless unwanted joke fuck embarrassment depression borderlinepersonality mentalillness bipolar anxiety,0
28596,makes perfect sense guess earth thanks reply,1
21294,sounds like best sort work jenni lovelyso nice hear meeting flesh,1
1039,prescribed medication depression granted illegal sk selling unlike shes humiliated unable work want kicking whos leave ,0
1643,anxiety sucks depression sucks,0
6680,dublin tomorrow cant wait hope ye excited year time,2
37022,doctor laughs oh patient arkham aslyum work,1
31264,heh heh odd amusing thanks,1
20530,hi uploaded  completely new chinese lessons wwwyoutubecomchineselearn feel free watch enjoy,1
10051,went vending maching bugles bugles sign dont need snack,2
27361,funny ,1
461,thats suffered depression years doesnt affect beliefs personality etc expressly said doesnt cant assume shit means saying,0
1143,  sa workers suffers depression httpswwwhealthcommedicaldepressionaboutdepressioninsaworkerssuffersfromdepression shared,0
23652,yay eurovision fan twitter eurovision,2
4074,attending cics parents orientation tomorrowneed wake early,2
20216,tafe actually good,1
23273,im wondering big rumored new large screen kindle httpisgdwyfi start seeing k textbooks,1
11726,dave thanks playing happy birthday nkotb today bday lonely bday today,1
2071,mental health matters mental illness affect depression anxiety discriminate affect  oughtibridge,0
15527,good stuff smiles wont concert o wish instead music failing lol x,2
31002,gonna celebrate mothers day family gonna start partying tonite,2
22185, today bank holiday places open tomorrow welcome,2
26071,wow glad liked concert mean like concert,2
33506,aww son gave purple g shock mothers day,1
22322,aww im glad im obscenely lateearly hour found forest kline engaged,1
34301,wow hour conversation omegle amazing,1
22338,im awake sleep,1
1653,lonely millennials twice likely experience depression anxiety finds study httpwwwindependentcouklifestylemillennialslonelydepressionanxietymentalhealthoddsdoublingunemployedstudyahtml ,0
35424,drivin home listenin  fucking lightweights left stag bullshit love especially toesha haha ha,1
6496,seeing friends coursework weekend work happy,1
2021,hmmosaka todayvery sad decode ur msg  haha cant wait till u  sydney missed tickets tho o xx,1
24436,hello palnice  c u todayhave gr week,1
6984,hahahaa sitting outside  came bit haha ago dads cutting grass,2
34169,selling artwork risk game boys startrek needed good day,1
26700,hope great weekend today  important meetings today,1
23891,coach says come way faster alot people oh yeah whos man ohh sore,1
32532,happy mothers day mommys,1
25097,oh goshso close finishing song cant wait,1
2227,smoke,2
28710,ouch heads ill know duck,2
15,overwhelming sadness engulfs leaving feeling like im drowning sea despair,0
37289,brendon thinks im lamebut im drunk,1
33353,free unlimited ringtones httptinyurlcomfreeringring usa awesome  iphone,1
35122,finally home night dinner drinking friends going sleep hoping bed doesnt spin,1
4509,arent following cant send dm,2
29047,theatre seeing star trek second time becuase cool,2
16024,httptwitpiccomotn awwwww want,2
32438,best friend tickets kiis fm,1
37948,lovely,1
30233,yes haahaaa break jellybeaniesss,1
38335,good morning day yay twittertakeover,1
6435,ohhhh man mom got bag caramel candy things theyre soooo good im going fat,1
5023,notion video deleted,2
11428,wanna upppppp,1
24287,went priscilla ahn night amazin bands actually,1
21697,yes yes especially wine mushrooms ummm love mushies,1
39787,happy mothers day mama today,1
26031,castiel  angle ,2
4645,work day walk outprocess happy step closer want ,1
1740,hi kuuku struggling disappointment depression suicidal thoughts anger feel lost left life situations needed talk definitely talk dm,0
14504,thunder scaring hell megeezi hate thunder better loose electricity fb httpmylocme,2
28424,good mornin today end early woo gonna work ricks surprise project tuesday,1
15488,wonder thomasvanvliet maybe help ive inherited  cant withdraw,1
10920,woo exams nxt wk,1
20834,youre surprised freetds utf dont quotjust workquot youll right eventually,2
11265,hi im glad fun tennis im dr dorfman visit,1
29798,dear itto possibly bad xo,1
36753,got home work chugging big bottle apple juice,1
26485,revamping recording studio today adding nice high end outboard gearvery exited,2
19153,friday wooo nuggets better pull tonight,1
29371,happy morning,1
905,wow imagine time management concentration issues minor anxiety self diagnosed depression depleting heath problems unhealthy eating habits ,0
31185,guess thats lol,1
3180,looks like beautiful dayand work til sunday yay bbq gonna postpone invitations,1
29674,thought mom year award nope tad bit selfish that,2
34677,goodnight good morning happy mothers day visit profile silly offspringits funny love life picks nose,1
39754,sounds goood,1
27207,egg whites  grain toast yup,2
2273,going manila evening trips cebu bitin,1
39532,law week gonna fuck excited,1
2202,post europe depression worse fucking shaking sadness depressed mind,0
11536,cant breathe turns im crazy inflammed lungs,2
28398,h lamb meeting fun sunny yay play horses afternoon clap clap clap,1
36917,ty friend yes ur right daughter daughter forever,1
34126,shouldnt going sleep kidding p,1
21713,dont possibly choice,1
35513,idea good dinner happy munchin,1
44,hard imagine future depression convinces constant companion,0
21396,great idea,1
20827,coming drom camp cell fone reception  im happy qld little bit tired,2
36642,thanks terri excited pick parker monday hope gets david pixiebob,1
36251,buenos dias sweet thank,1
28960,photos amazing great subject amp way people educated darfur hugs u inspiring woman,1
21643,wow sexy,2
9327,happened hated time moved username thought id love moved soon,2
32565,amazing time constraints visit meadows pine forest shall post images later,1
29907,believe,2
31478,uqh soo boredd supposedd asleep cuzz wakke upp earlyy juss cantt sleepp omq tomorroww iss mothers dayy,2
63,feel like im living fog muted distant struggle find way,0
28076,favorite relaxing songs wake to httptinyurlcomcfre good morning,1
25533,girl talk awesome,1
37673,finally went found songs sang church wellington online easier expected yay google fb,2
196,tell stop victim thing world wants corpse beaten bloody dying messplease oh enlightened genius cure fucking depression fix entire world,0
21685,thanks,1
29103,lolhe cool shoooooot,1
31213,watched movie holiday forgotten feel good movie lovely evening,1
20853,wow didnt tell jk thats cool,2
2661,football session thisfun,1
10547,ahahaha happens time poor angela,1
39981,good luck auction,1
35752,strange air lately setting edge going good smudging house good,2
26083,httptwitpiccomjguu wow pretty x,2
31532,hes pretty cute,2
20343,woohoo got sunbeam caf series grinder eu foods  epic win,1
21048,expected silverlight content m vine site httpwwwvinenetdefaultaspx realized reach flash lol,2
11299,no te vi onteeeeeeem,1
25282,good morning going kickbutt day,1
32134,met sarah kelly wow amazing woman god gave free tshirt gotta love free merch,1
33364,got la miss hawaii dang,1
24543,come join fun pitch legends game th   pm httptinyurlcomnkpuz,1
283,gonna fight nap today anbe productive im gonna depression nap ill cry ultralight beam entire evening pictwittercomuusttcssj,0
34618,watching favorite tv shows hulucom free,1
36919,dude pestered army personnel mumbai airport let hold request leave,1
10346,,2
36103,happy birthday,1
13191,talking today oh godness problems problems problems love money math parentsthats isnt,2
25963,good morning hope great day,1
17460,lol im qlad u enjoyed yur ramen noodles fried chicken im tired,1
34281,twitter useful reminds people forgot ask given day excellent inspiration,1
11610,hey didnt email,2
13811,got right know found wasnt coming cried sucks im happy headlining,2
32319,beautiful day northwest river park mothers day movie night church tomorrow going insane cant wait,1
20271,new baby arrived yesterday fab baby boy  kilo proud happy,1
21207,hope im coming piggy flu eyes red neck longer holds heavy head time sleep sogni doro,1
21214,walmart playing hide seek,1
36340,play n anymore super nintendo werent days best haha flashbacks,1
75,constant ache chest reminder deep sadness resides,0
38408,awake husband snoring faintly happy,1
1100,life long anxiety attack strewn depression etc bad undwell,0
25512,hey buck love u loads love quotwhat buckquot,1
38907,retweeted jesus post laugh dont worry wasnt subliminal code,1
20207,hey good follow nice photo,1
28170,new friend hmmm tell,2
31312,watching new season dvd,1
17365,glad home wish feel better,1
30359,bl muthafuckin ah win,1
30685,missed interview npr ironic listened npr day long fucking car trip watching needle looks good,2
39771,beans toast breakie gotta clean room study final cisco exam watch lost cant wait,1
29110,enjoyed seen night tho bad night financially cant wait kick  drive ins,1
240,sorry loss depression brutal,0
712,interesting recap tomorrow sleep work,1
6364,loving sun today thought revising good day kates afty shit day bless x,1
23244,mention nice awesome dude,1
2718,writing report cards soooo tired amazing day check fb soon,1
1059,summer glau appear dollhouse year httptinyurlcommnrezc cant believe wont renew tscc,2
14397,loved movie miss raul julia,1
35239,hale yeahhh thats coolest  hahaha match grieco,2
8642,yea getting best,2
17565,shareeee,1
22039,sounds like kinda day,1
8816,cant video private,2
20864,woke cat face haha,1
7435,swing didnt close,2
24844,awsome know know know,1
10479,ooo yuk thats good im retching tweet,2
13552,got labs thats left cant figure fml,2
35164,feelin bit dangerous watch tha vids httpbitlyxus,1
6379,found geocache heads httpcoordinfogcret probably find day httpbitlyjss,1
30167,flashlight tag love playing games dark,1
27672,despite rain fantastic day,1
21073,haha overheard  yrold mom quotmom think learn read todayquot,1
24531,chillin rents looking hilarious old photos funny,1
22257,tnx following looking forward tweet,1
30247,got home hour track feel real good p running nice abs work push ups haha p,1
22135,apparently star wars day today th httptinyurlcomaxsujx,2
34557,whats yall early night think ima bout shower chill witcha miss,2
22543,welcome,1
36356,kind good job know better friday w arbie,1
16127,huge spider crawled past huge,2
29,battle depression relentless moments respite fleeting far,0
38373,heading office quiet stockholm sunny,1
29780,thanks finding wonderful evening,1
3789,yeah prefer tweetdeck multiple accounts,2
124,depression distorts perspective making smallest setback feel like catastrophic failure,0
26050,thought work today,2
